,1 Hz,,2 Hz,,5 Hz,,10 Hz,,20Hz,,50 Hz,,100 Hz,,200 Hz,,250 Hz,,500 Hz,frequesncy,EPSC Gain,
0.0050605578327,3.205020129E-12,0.0050605578327,3.205020129E-12,0.0050605578327,3.205020129E-12,0.0050605578327,3.205020129E-12,0.0050605578327,3.205020129E-12,0.0050605578327,3.205020129E-12,0.0050605578327,3.205020129E-12,0.0050605578327,3.205020129E-12,0.0050605578327,3.205020129E-12,0.0050605578327,3.205020129E-12,,,
0.0050624301173,3.245012406E-12,0.0050624301173,3.245012406E-12,0.0050624301173,3.245012406E-12,0.0050624301173,3.245012406E-12,0.0050624301173,3.245012406E-12,0.0050624301173,3.245012406E-12,0.0050624301173,3.245012406E-12,0.0050624301173,3.245012406E-12,0.0050624301173,3.245012406E-12,0.0050624301173,3.245012406E-12,,,
0.0050644118745,3.284262781E-12,0.0050644118745,3.284262781E-12,0.0050644118745,3.284262781E-12,0.0050644118745,3.284262781E-12,0.0050644118745,3.284262781E-12,0.0050644118745,3.284262781E-12,0.0050644118745,3.284262781E-12,0.0050644118745,3.284262781E-12,0.0050644118745,3.284262781E-12,0.0050644118745,3.284262781E-12,,,
0.0050664109765,3.319552427E-12,0.0050664109765,3.319552427E-12,0.0050664109765,3.319552427E-12,0.0050664109765,3.319552427E-12,0.0050664109765,3.319552427E-12,0.0050664109765,3.319552427E-12,0.0050664109765,3.319552427E-12,0.0050664109765,3.319552427E-12,0.0050664109765,3.319552427E-12,0.0050664109765,3.319552427E-12,,,
0.0050683089329,3.355331618E-12,0.0050683089329,3.355331618E-12,0.0050683089329,3.355331618E-12,0.0050683089329,3.355331618E-12,0.0050683089329,3.355331618E-12,0.0050683089329,3.355331618E-12,0.0050683089329,3.355331618E-12,0.0050683089329,3.355331618E-12,0.0050683089329,3.355331618E-12,0.0050683089329,3.355331618E-12,,,
0.0050701613654,3.396082956E-12,0.0050701613654,3.396082956E-12,0.0050701613654,3.396082956E-12,0.0050701613654,3.396082956E-12,0.0050701613654,3.396082956E-12,0.0050701613654,3.396082956E-12,0.0050701613654,3.396082956E-12,0.0050701613654,3.396082956E-12,0.0050701613654,3.396082956E-12,0.0050701613654,3.396082956E-12,,,
0.0050721131243,3.438399778E-12,0.0050721131243,3.438399778E-12,0.0050721131243,3.438399778E-12,0.0050721131243,3.438399778E-12,0.0050721131243,3.438399778E-12,0.0050721131243,3.438399778E-12,0.0050721131243,3.438399778E-12,0.0050721131243,3.438399778E-12,0.0050721131243,3.438399778E-12,0.0050721131243,3.438399778E-12,,,
0.0050741561799,3.477406098E-12,0.0050741561799,3.477406098E-12,0.0050741561799,3.477406098E-12,0.0050741561799,3.477406098E-12,0.0050741561799,3.477406098E-12,0.0050741561799,3.477406098E-12,0.0050741561799,3.477406098E-12,0.0050741561799,3.477406098E-12,0.0050741561799,3.477406098E-12,0.0050741561799,3.477406098E-12,,,
0.0050761245058,3.513510029E-12,0.0050761245058,3.513510029E-12,0.0050761245058,3.513510029E-12,0.0050761245058,3.513510029E-12,0.0050761245058,3.513510029E-12,0.0050761245058,3.513510029E-12,0.0050761245058,3.513510029E-12,0.0050761245058,3.513510029E-12,0.0050761245058,3.513510029E-12,0.0050761245058,3.513510029E-12,,,
0.0050779852873,3.553950546E-12,0.0050779852873,3.553950546E-12,0.0050779852873,3.553950546E-12,0.0050779852873,3.553950546E-12,0.0050779852873,3.553950546E-12,0.0050779852873,3.553950546E-12,0.0050779852873,3.553950546E-12,0.0050779852873,3.553950546E-12,0.0050779852873,3.553950546E-12,0.0050779852873,3.553950546E-12,,,
0.0050798883647,3.598339203E-12,0.0050798883647,3.598339203E-12,0.0050798883647,3.598339203E-12,0.0050798883647,3.598339203E-12,0.0050798883647,3.598339203E-12,0.0050798883647,3.598339203E-12,0.0050798883647,3.598339203E-12,0.0050798883647,3.598339203E-12,0.0050798883647,3.598339203E-12,0.0050798883647,3.598339203E-12,,,
0.0050819355984,3.641525686E-12,0.0050819355984,3.641525686E-12,0.0050819355984,3.641525686E-12,0.0050819355984,3.641525686E-12,0.0050819355984,3.641525686E-12,0.0050819355984,3.641525686E-12,0.0050819355984,3.641525686E-12,0.0050819355984,3.641525686E-12,0.0050819355984,3.641525686E-12,0.0050819355984,3.641525686E-12,,,
0.0050839822429,3.679866347E-12,0.0050839822429,3.679866347E-12,0.0050839822429,3.679866347E-12,0.0050839822429,3.679866347E-12,0.0050839822429,3.679866347E-12,0.0050839822429,3.679866347E-12,0.0050839822429,3.679866347E-12,0.0050839822429,3.679866347E-12,0.0050839822429,3.679866347E-12,0.0050839822429,3.679866347E-12,,,
0.0050858903573,3.719475802E-12,0.0050858903573,3.719475802E-12,0.0050858903573,3.719475802E-12,0.0050858903573,3.719475802E-12,0.0050858903573,3.719475802E-12,0.0050858903573,3.719475802E-12,0.0050858903573,3.719475802E-12,0.0050858903573,3.719475802E-12,0.0050858903573,3.719475802E-12,0.0050858903573,3.719475802E-12,,,
0.0050877551712,3.764760089E-12,0.0050877551712,3.764760089E-12,0.0050877551712,3.764760089E-12,0.0050877551712,3.764760089E-12,0.0050877551712,3.764760089E-12,0.0050877551712,3.764760089E-12,0.0050877551712,3.764760089E-12,0.0050877551712,3.764760089E-12,0.0050877551712,3.764760089E-12,0.0050877551712,3.764760089E-12,,,
0.0050897597738,3.811391535E-12,0.0050897597738,3.811391535E-12,0.0050897597738,3.811391535E-12,0.0050897597738,3.811391535E-12,0.0050897597738,3.811391535E-12,0.0050897597738,3.811391535E-12,0.0050897597738,3.811391535E-12,0.0050897597738,3.811391535E-12,0.0050897597738,3.811391535E-12,0.0050897597738,3.811391535E-12,,,
0.0050918645793,3.853971408E-12,0.0050918645793,3.853971408E-12,0.0050918645793,3.853971408E-12,0.0050918645793,3.853971408E-12,0.0050918645793,3.853971408E-12,0.0050918645793,3.853971408E-12,0.0050918645793,3.853971408E-12,0.0050918645793,3.853971408E-12,0.0050918645793,3.853971408E-12,0.0050918645793,3.853971408E-12,,,
0.0050938553151,3.893547747E-12,0.0050938553151,3.893547747E-12,0.0050938553151,3.893547747E-12,0.0050938553151,3.893547747E-12,0.0050938553151,3.893547747E-12,0.0050938553151,3.893547747E-12,0.0050938553151,3.893547747E-12,0.0050938553151,3.893547747E-12,0.0050938553151,3.893547747E-12,0.0050938553151,3.893547747E-12,,,
0.0050957189524,3.938504756E-12,0.0050957189524,3.938504756E-12,0.0050957189524,3.938504756E-12,0.0050957189524,3.938504756E-12,0.0050957189524,3.938504756E-12,0.0050957189524,3.938504756E-12,0.0050957189524,3.938504756E-12,0.0050957189524,3.938504756E-12,0.0050957189524,3.938504756E-12,0.0050957189524,3.938504756E-12,,,
0.0050976539623,3.98739352E-12,0.0050976539623,3.98739352E-12,0.0050976539623,3.98739352E-12,0.0050976539623,3.98739352E-12,0.0050976539623,3.98739352E-12,0.0050976539623,3.98739352E-12,0.0050976539623,3.98739352E-12,0.0050976539623,3.98739352E-12,0.0050976539623,3.98739352E-12,0.0050976539623,3.98739352E-12,,,
0.005099767354,4.034799923E-12,0.005099767354,4.034799923E-12,0.005099767354,4.034799923E-12,0.005099767354,4.034799923E-12,0.005099767354,4.034799923E-12,0.005099767354,4.034799923E-12,0.005099767354,4.034799923E-12,0.005099767354,4.034799923E-12,0.005099767354,4.034799923E-12,0.005099767354,4.034799923E-12,,,
0.0051018546066,4.076626828E-12,0.0051018546066,4.076626828E-12,0.0051018546066,4.076626828E-12,0.0051018546066,4.076626828E-12,0.0051018546066,4.076626828E-12,0.0051018546066,4.076626828E-12,0.0051018546066,4.076626828E-12,0.0051018546066,4.076626828E-12,0.0051018546066,4.076626828E-12,0.0051018546066,4.076626828E-12,,,
0.0051037671552,4.120562928E-12,0.0051037671552,4.120562928E-12,0.0051037671552,4.120562928E-12,0.0051037671552,4.120562928E-12,0.0051037671552,4.120562928E-12,0.0051037671552,4.120562928E-12,0.0051037671552,4.120562928E-12,0.0051037671552,4.120562928E-12,0.0051037671552,4.120562928E-12,0.0051037671552,4.120562928E-12,,,
