,CW10,,Cw11,,CW12,,CW13,,,,,,
,,-0.925,2.660665913E-15,-0.925,9.985219169E-9,-0.9,3.730935692E-17,,,,,,
,,-0.9,2.708941959E-15,-0.9,9.979719777E-9,-0.875,3.810076752E-17,,,,,,
,,-0.875,2.746194787E-15,-0.875,9.973050507E-9,-0.85,3.414371452E-17,,,,,,
,,-0.85,2.802215352E-15,-0.85,9.96604699E-9,-0.825,3.583959438E-17,,,,,,
,,-0.825,2.848965106E-15,-0.825,9.957893402E-9,-0.8,3.448289049E-17,,,,,,
,,-0.8,2.897693388E-15,-0.8,1.616173507E-15,-0.775,3.459594915E-17,,,,,,
,,-0.775,2.94806102E-15,-0.775,1.6167388E-15,-0.75,3.629182901E-17,,,,,,
,,-0.75,3.007982108E-15,-0.75,1.631436425E-15,-0.725,3.380453855E-17,,,,,,
,,-0.725,3.07429101E-15,-0.725,1.638106886E-15,-0.7,3.663100498E-17,,,,,,
,,-0.7,3.148118314E-15,-0.7,1.649751928E-15,-0.675,3.900523678E-17,,,,,,
,,-0.675,3.233647188E-15,-0.675,1.669254546E-15,-0.65,3.957053007E-17,,,,,,
,,-0.65,3.307304903E-15,-0.65,1.678694944E-15,-0.625,3.651794632E-17,,,,,,
,,-0.625,3.419967855E-15,-0.625,1.698536739E-15,-0.6,3.753547424E-17,,,,,,
,,-0.6,3.669714429E-15,-0.6,1.70684655E-15,-0.575,3.776159155E-17,,,,,,
,,-0.575,1.158851238E-17,-0.575,1.668237018E-15,-0.55,3.708323961E-17,,,,,,
,,-0.55,1.926802168E-15,-0.55,1.691357514E-15,-0.525,3.47090078E-17,,,,,,
,,-0.525,2.735228097E-15,-0.525,1.663940789E-15,-0.5,3.730935692E-17,,,,,,
,,-0.5,9.147121027E-9,-0.5,1.639859295E-15,-0.475,3.798770887E-17,,,,,,
,,-0.475,9.141923033E-16,-0.475,1.837825004E-15,-0.45,3.482206646E-17,,,,,,
,,-0.45,4.039698885E-15,-0.45,2.111370426E-15,-0.425,3.606571169E-17,,,,,,
,,-0.425,1.388473371E-15,-0.425,2.134264804E-15,-0.4,3.810076752E-17,,,,,,
,,-0.4,8.29210798E-9,-0.4,1.959702237E-15,-0.375,3.606571169E-17,,,,,,
,,-0.375,8.066326169E-9,-0.375,1.602719526E-15,-0.35,3.889217813E-17,,,,,,
,,-0.35,7.977712316E-9,-0.35,1.302209615E-15,-0.325,3.945747141E-17,,,,,,
,,-0.325,8.106154271E-9,-0.325,1.479146414E-15,-0.3,3.911829544E-17,,,,,,
,,-0.3,8.574226829E-9,-0.3,1.601136705E-15,-0.275,4.024888201E-17,,,,,,
,,-0.275,6.322070531E-15,-0.275,1.664675671E-15,-0.25,3.617877035E-17,,,,,,
,,-0.25,1.906960373E-15,-0.25,1.686552521E-15,-0.225,4.104029262E-17,,,,,,
,,-0.225,1.414081157E-15,-0.225,1.684291348E-15,-0.2,3.663100498E-17,,,,,,
,,-0.2,7.165697225E-9,-0.2,1.664166907E-15,-0.175,3.617877035E-17,,,,,,
,,-0.175,1.786948609E-15,-0.175,1.65461345E-15,-0.15,4.104029262E-17,,,,,,
,,-0.15,1.995202655E-15,-0.15,1.645512228E-15,-0.125,2.38553767E-17,,,,,,
,,-0.125,2.011200455E-15,-0.125,1.643590231E-15,-0.1,4.149252724E-17,,,,,,
,,-0.1,2.012104925E-15,-0.1,1.643137996E-15,-0.075,3.832688484E-17,,,,,,
,,-0.075,2.010465574E-15,-0.075,1.635732654E-15,-0.05,4.036194067E-17,,,,,,
,,-0.05,2.004529995E-15,-0.05,1.631379896E-15,-0.025,3.674406364E-17,,,,,,
,,-0.025,1.998877062E-15,-0.025,1.622843967E-15,-1.19685417E-14,3.866606081E-17,,,,,,
,,-1.19685417E-14,1.997746475E-15,-1.19685417E-14,1.623296202E-15,0.025,3.855300215E-17,,,,,,
,,0.025,1.989606252E-15,0.025,1.616851859E-15,0.05,4.08141753E-17,,,,,,
,,0.05,1.94008656E-15,0.05,1.594240127E-15,0.075,3.832688484E-17,,,,,,
,,0.075,1.929345988E-15,0.075,1.584969317E-15,0.1,3.685712229E-17,,,,,,
,,0.1,1.913630834E-15,0.1,1.578242327E-15,0.125,3.697018095E-17,,,,,,
,,0.125,1.905829787E-15,0.125,1.567106049E-15,0.15,3.651794632E-17,,,,,,
,,0.15,1.890171163E-15,0.15,1.561000882E-15,0.175,4.024888201E-17,,,,,,
,,0.175,1.873268894E-15,0.175,1.545398787E-15,0.2,3.742241558E-17,,,,,,
,,0.2,1.865298258E-15,0.2,1.544494318E-15,0.225,3.968358873E-17,,,,,,
,,0.225,1.848791694E-15,0.225,1.519338767E-15,0.25,3.968358873E-17,,,,,,
,,0.25,1.831663308E-15,0.25,1.496557447E-15,0.275,3.810076753E-17,,,,,,
,,0.275,1.806281639E-15,0.275,1.471514955E-15,0.3,3.877911947E-17,,,,,,
,,0.3,1.789096723E-15,0.3,1.454273509E-15,0.325,4.205782055E-17,,,,,,
,,0.325,1.778751856E-15,0.325,1.437993063E-15,0.35,3.764853294E-17,,,,,,
,,0.35,1.756253183E-15,0.35,1.428383077E-15,0.375,4.047499943E-17,,,,,,
,,0.375,1.731267221E-15,0.375,1.407354167E-15,0.4,3.91182957E-17,,,,,,
,,0.4,1.721205001E-15,0.4,1.395822185E-15,0.425,4.420593568E-17,,,,,,
,,0.425,1.704133146E-15,0.425,1.372758222E-15,0.45,3.990970772E-17,,,,,,
,,0.45,1.685082769E-15,0.45,1.360717481E-15,0.475,3.923135836E-17,,,,,,
,,0.475,1.666767284E-15,0.475,1.337483944E-15,0.5,4.251006596E-17,,,,,,
,,0.5,1.629853676E-15,0.5,1.327478294E-15,0.525,3.719632562E-17,,,,,,
,,0.525,1.601306474E-15,0.525,1.307975782E-15,0.55,4.024895133E-17,,,,,,
,,0.55,1.5728725E-15,0.55,1.294013306E-15,0.575,4.081435091E-17,,,,,,
,,0.575,1.540142724E-15,0.575,1.266145027E-15,0.6,2.577781871E-17,,,,,,
,,0.6,1.502665567E-15,0.6,1.253992945E-15,0.625,3.810189415E-17,,,,,,
,,0.625,1.473557494E-15,0.625,1.237151572E-15,0.65,3.979950024E-17,,,,,,
,,0.65,1.451239892E-15,0.65,1.218847129E-15,0.675,4.104751522E-17,,,,,,
,,0.675,1.428431133E-15,0.675,1.198354987E-15,0.7,3.744069728E-17,,,,,,
,,0.7,1.405723491E-15,0.7,1.181071382E-15,0.725,2.378858183E-17,,,,,,
,,0.725,1.381432848E-15,0.725,1.167288076E-15,0.75,4.37576884E-17,,,,,,
,,0.75,1.35137925E-15,0.75,1.128001968E-15,0.775,4.190163272E-17,,,,,,
,,0.775,1.326570783E-15,0.775,1.116092051E-15,0.8,4.201498253E-17,,,,,,
,,0.8,1.311617449E-15,0.8,1.106502642E-15,0.825,4.383695934E-17,,,,,,
,,0.825,1.313891294E-15,0.825,1.112654176E-15,0.85,5.656212915E-17,,,,,,
,,0.85,1.356276276E-15,0.85,1.152618705E-15,0.875,9.675754828E-17,,,,,,
,,0.875,1.511419249E-15,0.875,1.300508096E-15,0.9,2.000777209E-16,,,,,,
,,0.9,1.93839741E-15,0.9,1.700340022E-15,0.925,4.323950923E-16,,,,,,
,,0.925,3.033286403E-15,0.925,2.742864053E-15,0.95,1.069226727E-15,,,,,,
,,0.95,5.866112624E-15,0.95,5.399278905E-15,0.975,2.625072012E-15,,,,,,
,,0.975,1.302326337E-14,0.975,1.214871452E-14,1,6.586269737E-15,,,,,,
,,1,3.113859881E-14,1,2.918331832E-14,1.025,1.658933726E-14,,,,,,
,,1.025,7.676775062E-14,1.025,7.213848899E-14,1.05,4.178965634E-14,,,,,,
,,1.05,1.915950881E-13,1.05,1.801562514E-13,1.075,1.051066814E-13,,,,,,
,,1.075,4.797221187E-13,1.075,4.511318986E-13,1.1,2.640024069E-13,,,,,,
,,1.1,1.200189911E-12,1.1,1.128580161E-12,1.125,6.616966337E-13,,,,,,
,,1.125,2.991741319E-12,1.125,2.812984017E-12,1.15,1.652719942E-12,,,,,,
,,1.15,7.406003647E-12,1.15,6.963515802E-12,1.175,4.105228771E-12,,,,,,
,,1.175,1.811857539E-11,1.175,1.703914198E-11,1.2,1.010522802E-11,,,,,,
,,1.2,4.349871933E-11,1.2,4.092375795E-11,1.225,2.450991493E-11,,,,,,
,,1.225,1.014782439E-10,1.225,9.552504377E-11,1.25,5.81015046E-11,,,,,,
,,1.25,2.275248193E-10,1.25,2.142849888E-10,1.275,1.33126617E-10,,,,,,
,,1.275,4.854520921E-10,1.275,4.572267712E-10,1.3,2.91535833E-10,,,,,,
,,1.3,9.792866563E-10,1.3,9.217327067E-10,1.325,6.047090378E-10,,,,,,
,,1.325,1.863550166E-9,1.325,1.751335974E-9,1.35,1.18236145E-9,,,,,,
,,1.35,3.351279867E-9,1.35,3.142054459E-9,1.375,2.178576945E-9,,,,,,
,,1.375,5.716118954E-9,1.375,5.344511477E-9,1.4,3.795545084E-9,,,,,,
,,1.4,9.283388177E-9,1.4,8.656531334E-9,1.425,6.282331897E-9,,,,,,
,,1.425,1.441327571E-8,1.425,1.340856587E-8,1.45,9.925095124E-9,,,,,,
,,1.45,2.147417397E-8,1.45,1.994333798E-8,1.475,1.503276828E-8,,,,,,
,,1.475,3.080182342E-8,1.475,2.858439204E-8,1.5,2.191824741E-8,,,,,,
,,1.5,4.265661024E-8,1.5,3.95983486E-8,1.525,3.087045015E-8,,,,,,
,,1.525,5.719832638E-8,1.525,5.316687416E-8,1.55,4.21232918E-8,,,,,,
,,1.55,7.448481308E-8,1.55,6.937867404E-8,1.575,5.583396002E-8,,,,,,
,,1.575,9.448638079E-8,1.575,8.823836315E-8,1.6,7.207800692E-8,,,,,,
,,1.6,1.171069638E-7,1.6,1.096827705E-7,1.625,9.085739401E-8,,,,,,
,,1.625,1.422048646E-7,1.625,1.335996337E-7,1.65,1.121153115E-7,,,,,,
,,1.65,1.696120209E-7,1.65,1.5984477E-7,1.675,1.357512904E-7,,,,,,
,,1.675,1.991497939E-7,1.675,1.882572288E-7,1.7,1.616360931E-7,,,,,,
