,1V,,2V,,3V,,4V,,5V,,6V,gatevoltage,DC0.4,DC0.6,DC0.8,time,1V,2V,3V,4V,5V,6V,
0.01700127,2.021140335E-8,0.01700127,9.85069793E-8,0.01701023,1.336904393E-7,0.01700001,1.498984541E-7,0.014042284366,1.238249529E-7,0.015,1.316855337E-7,,,,,,,,,,,,
0.01700255,2.024526679E-8,0.01700255,9.857806087E-8,0.01702047,1.33619078E-7,0.01700003,1.498091155E-7,0.014087954433,1.233813084E-7,0.01500001,1.308131836E-7,,,,,,,,,,,,
0.01700511,2.023058075E-8,0.01700511,9.85391298E-8,0.01704095,1.334763579E-7,0.01700007,1.497662459E-7,0.014113475987,1.231313308E-7,0.01500003,1.309728998E-7,,,,,,,,,,,,
0.01701023,2.018300514E-8,0.01701023,9.846773752E-8,0.01708191,1.331933271E-7,0.01700015,1.496513564E-7,0.01414861264,1.227847986E-7,0.01500007,1.311975515E-7,,,,,,,,,,,,
0.01702047,2.006370737E-8,0.01702047,9.833548956E-8,0.01716383,1.326230122E-7,0.01700031,1.494233347E-7,0.014218885944,1.220836374E-7,0.01500015,1.316562141E-7,,,,,,,,,,,,
0.01704095,1.980457315E-8,0.01704095,9.808500964E-8,0.017238002941,1.320950298E-7,0.01700063,1.489563298E-7,0.014264711638,1.216207292E-7,0.01500031,1.325364292E-7,,,,,,,,,,,,
0.01708191,1.928044426E-8,0.01708191,9.760016878E-8,0.017281131343,1.317820632E-7,0.01700127,1.474245536E-7,0.014290379756,1.21359531E-7,0.01500063,1.341740127E-7,,,,,,,,,,,,
0.01716383,1.826124886E-8,0.01716383,9.664767261E-8,0.017320155247,1.314949827E-7,0.01700255,1.476991376E-7,0.014325766041,1.209972325E-7,0.01500127,1.372193665E-7,,,,,,,,,,,,
0.017304325958,1.661940268E-8,0.01732767,9.47643199E-8,0.017388021494,1.309867557E-7,0.01700511,1.476879414E-7,0.01439653861,1.202651397E-7,0.01500255,1.368773611E-7,,,,,,,,,,,,
0.01738761648,1.570818084E-8,0.01765535,9.104932238E-8,0.017456457021,1.304625694E-7,0.01701023,1.47668121E-7,0.014493520059,1.192463244E-7,0.01500511,1.369544956E-7,,,,,,,,,,,,
0.017433434569,1.522608854E-8,0.01831071,8.374737313E-8,0.017498985008,1.301308368E-7,0.01702047,1.476302206E-7,0.014687482957,1.171584893E-7,0.01501023,1.371113146E-7,,,,,,,,,,,,
0.017502353088,1.452599397E-8,0.01962143,6.785122919E-8,0.017535380902,1.298432655E-7,0.01704095,1.475585271E-7,0.015,1.136729439E-7,0.01502047,1.374265737E-7,,,,,,,,,,,,
0.017640190126,1.321323337E-8,0.02,6.213501022E-8,0.017592879428,1.293820226E-7,0.01708191,1.474206351E-7,0.01500001,1.131253304E-7,0.01504095,1.38039083E-7,,,,,,,,,,,,
0.017725222936,1.245913893E-8,0.02000001,6.202424443E-8,0.01765764878,1.288522363E-7,0.01716383,1.471477371E-7,0.01500003,1.133153351E-7,0.015074239858,1.389814308E-7,,,,,,,,,,,,
0.017771458623,1.20662198E-8,0.02000003,6.218215328E-8,0.017700323973,1.284972396E-7,0.01732767,1.465929978E-7,0.01500007,1.136628675E-7,0.015095921101,1.395645021E-7,,,,,,,,,,,,
0.017838247536,1.151921144E-8,0.02000007,6.251623686E-8,0.017734937128,1.282058459E-7,0.01744075576,1.462006856E-7,0.01500015,1.143559295E-7,0.015109333798,1.399144857E-7,,,,,,,,,,,,
0.017971825363,1.049497577E-8,0.02000015,6.317385484E-8,0.017785128013,1.277778108E-7,0.017506930546,1.459673684E-7,0.01500031,1.157153437E-7,0.01512943054,1.404246919E-7,,,,,,,,,,,,
0.018060958151,9.860527477E-9,0.02000031,6.445507136E-8,0.017847410928,1.272376339E-7,0.017591277531,1.456658696E-7,0.01500063,1.183247635E-7,0.01516604047,1.413139553E-7,,,,,,,,,,,,
0.018111792489,9.515319768E-9,0.02000063,6.686795117E-8,0.0178906419,1.268568534E-7,0.017749572894,1.450871404E-7,0.01500127,1.221089818E-7,0.015190919536,1.418912098E-7,,,,,,,,,,,,
0.018181287705,9.062113732E-9,0.02000127,6.974370864E-8,0.017921065846,1.265860278E-7,0.017856087938,1.446878077E-7,0.01500255,1.219093012E-7,0.015206112259,1.422337699E-7,,,,,,,,,,,,
0.018320278138,8.217160934E-9,0.02000255,6.971249848E-8,0.017964364005,1.261965692E-7,0.017918263864,1.444508559E-7,0.01500511,1.220473777E-7,0.015227439647,1.427026571E-7,,,,,,,,,,,,
0.018413728571,7.692252496E-9,0.02000511,6.981527437E-8,0.018028929985,1.256071063E-7,0.017999772358,1.441357782E-7,0.01501023,1.223172845E-7,0.015267204628,1.435419842E-7,,,,,,,,,,,,
0.018467375636,7.405660189E-9,0.02001023,7.002147705E-8,0.018073670594,1.251926069E-7,0.018152759438,1.435301785E-7,0.01502047,1.228431505E-7,0.015294710028,1.440979212E-7,,,,,,,,,,,,
0.018541237928,7.027831643E-9,0.02002047,7.043178102E-8,0.018102081097,1.249268669E-7,0.018253711905,1.431198936E-7,0.01504095,1.238552045E-7,0.015311579463,1.444295994E-7,,,,,,,,,,,,
0.018688962513,6.326987174E-9,0.02004095,7.123639218E-8,0.01814070123,1.245625154E-7,0.018312007048,1.428789317E-7,0.015071698048,1.252969191E-7,0.015334733134,1.448739446E-7,,,,,,,,,,,,
0.018789611453,5.888462389E-9,0.02008191,7.27786689E-8,0.018207122507,1.239276169E-7,0.018389641692,1.425532697E-7,0.015133194144,1.279418961E-7,0.015377661972,1.456665117E-7,,,,,,,,,,,,
0.018847926435,5.647881677E-9,0.02016383,7.563770318E-8,0.018252706512,1.234859601E-7,0.018536948605,1.419197386E-7,0.015256186336,1.324052537E-7,0.015407701871,1.46198611E-7,,,,,,,,,,,,
0.018928205972,5.332042292E-9,0.02032767,8.072315713E-8,0.018279999433,1.232192542E-7,0.018632570442,1.414969915E-7,0.015501537853,1.389300242E-7,0.015426276886,1.465189506E-7,,,,,,,,,,,,
0.019088765044,4.75032484E-9,0.02065535,8.95498964E-8,0.018316540147,1.228595606E-7,0.018687166498,1.412513662E-7,0.015848852418,1.451785377E-7,0.015451470092,1.469433539E-7,,,,,,,,,,,,
0.019199348781,4.385532514E-9,0.02131071,1.048111193E-7,0.018384738389,1.221803836E-7,0.018760718487,1.409153918E-7,0.016253980301,1.502749476E-7,0.015497671839,1.476932955E-7,,,,,,,,,,,,
0.019263891071,4.185172153E-9,0.022,1.178204153E-7,0.018430659326,1.217174357E-7,0.018901893576,1.402534985E-7,0.016855214316,1.55641172E-7,0.015530320417,1.482025535E-7,,,,,,,,,,,,
0.019352740325,3.923635931E-9,0.02200001,1.180544954E-7,0.01845725933,1.214472469E-7,0.018992231059,1.398175995E-7,0.017,1.566896241E-7,0.015550682803,1.48512022E-7,,,,,,,,,,,,
0.019530438832,3.446756102E-9,0.02200003,1.179817862E-7,0.018493191303,1.210799571E-7,0.019043277548,1.395668195E-7,0.01700001,1.576585011E-7,0.015578082266,1.489190373E-7,,,,,,,,,,,,
0.019774485433,2.881758941E-9,0.02200007,1.178526721E-7,0.018563351435,1.203553202E-7,0.019112664373,1.392205758E-7,0.01700003,1.575444489E-7,0.015627811222,1.496317424E-7,,,,,,,,,,,,
0.02,2.440126629E-9,0.02200015,1.175906182E-7,0.018657552072,1.193674247E-7,0.01924711324,1.385313017E-7,0.01700007,1.575185886E-7,0.015663277902,1.50120846E-7,,,,,,,,,,,,
0.02000001,2.357949964E-9,0.02200031,1.170615695E-7,0.018845953345,1.173438246E-7,0.019331950107,1.380832635E-7,0.01700015,1.574260835E-7,0.015685584087,1.504207542E-7,,,,,,,,,,,,
0.02000003,2.381034539E-9,0.02200063,1.159829588E-7,0.019222755892,1.13133833E-7,0.019379368543,1.378282108E-7,0.01700031,1.572452314E-7,0.015715426936,1.50813124E-7,,,,,,,,,,,,
0.02000007,2.424188174E-9,0.02200127,1.143442277E-7,0.019976360985,1.043301191E-7,0.019444175052,1.374740779E-7,0.01700063,1.568762978E-7,0.015769108212,1.514947644E-7,,,,,,,,,,,,
0.02000015,2.511316567E-9,0.02200255,1.144298696E-7,0.02,1.040513455E-7,0.019570593508,1.367640217E-7,0.01700127,1.551745712E-7,0.015807730262,1.519671639E-7,,,,,,,,,,,,
0.02000031,2.691520298E-9,0.02200511,1.143966317E-7,0.02000001,1.037609517E-7,0.019648913304,1.363107371E-7,0.01700255,1.5553379E-7,0.015832213704,1.522592702E-7,,,,,,,,,,,,
0.02000063,3.077414976E-9,0.02201023,1.143328752E-7,0.02000003,1.038829087E-7,0.019691969187,1.360569927E-7,0.01700511,1.555248823E-7,0.015864821987,1.526398553E-7,,,,,,,,,,,,
